name,address,website,tel,emails
Buy a Car,"30 Cleveland Street, London, W1T4JD",http://www.buyacar.co.uk,08452260101,
Inchcape Plc,"22a St James Square, London, SW1Y4JH",http://www.inchcape.com,02075460022,
Bright Blue World Ltd,"5th Floor, 24 Old Bond Street, Westminster, London, W1S4AW",http://www.brightblueworld.com,08704440604,
Stratstone of Mayfair,"14 Berkeley Street, London, W1J8DX",http://www.stratstone.com,02075140400,
Stratstone Jaguar Mayfair,"Savile House, 18 Berkeley Street, Westminster, London, W1J8NF",http://www.stratstone.com,02076294404,
Audi City London,"74-75 Piccadilly, Westminster, London, W1J8HU",http://www.audi.co.uk,02074950000,
Rolls Royce Motor Cars London,"Berkeley Square House, Berkeley Square, Westminster, London, W1J6BR",http://www.rolls-roycemotorcars-london.co.uk,02074917941,
Jack Barclay Bentley,"18-19 Berkeley Square, Westminster, London, W1J6AE",http://www.hrowen.co.uk,02076297444,
Porsche Mayfair,"83 Piccadilly, Westminster, London, W1J8JA",,02037336203,
Stone Mark Cars Sales Ltd,"52 Marylebone High Street, Westminster, London, W1U5HR",,02074860944,
Motor Village,"105 Wigmore Street, Westminster, London, W1U1QY",http://www.motorvillageuk.com,02073996650,
carluv.co.uk,"20-22 Wenlock Road, Hackney, London, N17GU",,08009550260,
B M W Park Lane,"56-59 Park Lane, Westminster, London, W1K1QB",http://www.bmwparklane.co.uk,02075143559,
B M W Motorrad Park Lane,"68 Park Lane, Westminster, London, W1K7TT",http://www.bmwmotorradparklane.co.uk,02075143564,
Mini Park Lane,"70 Park Lane, Westminster, London, W1K7TT",http://www.miniparklane.com,02075143561,
Stratstone of Mayfair,"Brook House, 113 Park Lane, London, W1K7AJ",http://www.stratstone.com,02072358888,
Bob Forstner,"Avenfield House, 118-127 Park Lane, Westminster, London, W1K7AF",http://www.bobforstner.co.uk,02076297020,
Broadspeed,"22 Coronet Street, Hackney, London, N16HD",http://www.broadspeed.com,02071750555,
Mayfair Prestige,"91 Crawford Street, Westminster, London, W1H2HD",http://www.mayfairprestigeuk.co.uk,02077232860,
Marylebone Car Centre,"62a Balcombe Street, Westminster, London, NW16NE",http://www.marylebonecarcentre.co.uk,02077247575,
Deca Motor International,"Bolebec House, Lowndes Street, London, SW1X9EU",http://www.decamotorinternational.com,01707872945,
McLaren London,"One Hyde Park, London, SW1X7LJ",http://www.jardinemotors.co.uk/mclaren/dealership/mclaren-london,02037920858,
R G A Porsche Centre,"34 Arches, Miles Street, Lambeth, London, SW81RY",http://www.rgaporschelondon.co.uk,02077931447,
Clive Sutton Ltd,"151b Park Road, Westminster, London, NW87HT",http://www.clivesutton.co.uk,02074836500,
Alan Day Volkswagen,"60 The Highway, London, E1W2BF",http://www.alandayvw.co.uk,02079544440,
Barons of Kentish Town B M W,"1 Browns Lane, London, NW53EX",http://www.baronsbmw.co.uk,02074856011,
H R Owen Plc,"Melton Court, 25-27 Old Brompton Road, London, SW73TD",http://www.hrowen.co.uk,02075905880,
H R Owen Maserati,"25-27 Old Brompton Road, Kensington and Chelsea, London, SW73TD",http://www.hrowen.co.uk,03332407862,
H R Owen Lamborghini London,"27 Old Brompton Road, Kensington and Chelsea, London, SW73TD",http://www.hrowen.co.uk,03332408817,
Yellow & Blue,"78 Fulham Road, London, SW36HH",,02075847915,
Robins & Day City,"Ossory Road, London, SE15AN",http://www.dealer.citroen.co.uk/london-city,02077205151,
Mercedes-benz Chelsea,"Pier House, London, SW35HX",http://www.mercedes-benzretailgroup.co.uk/,02073514000,
R R London,"315 Queenstown Road, Wandsworth, London, SW84LN",http://www.rrlondon.co.uk,02077202502,
John De-grave,"Unit 291, London, SW100BB",,02073513939,
Finchley Road Audi,"279 Finchley Road, Camden, London, NW36LT",http://www.audi.co.uk,02076447878,
Alan Day Volkswagen,"277 Finchley Road, London, NW36LT",http://www.alandayvw.co.uk,02076447800,
The London L H D Centre,"Chelsea Harbour, Hammersmith and Fulham, London, SW100XG",http://www.londonlhdcentre.com,02073719120,
