name,address,website,tel,emails
Perfect Pizza,"48 Lewes Road, Brighton, BN23HW",http://www.perfectpizza.co.uk,01273685555,
Pizza Me,"The Kiosk Elm Grove, Brighton, BN23DD",http://www.pizzame-brighton.co.uk,01273622210,
Yummie Pizza,"3 Islingword Road, Brighton, BN29SE",http://www.yummiepizza.co.uk,01273608608,
Jerry's Pizza,"32i & 32j Viaduct Road, Brighton, BN14NB",,01273708080,
Domino's Pizza Brighton - London Road,"56 London Road, Brighton, BN14JE",http://www.dominos.co.uk,01273675676,
Pizza Knight,"14 Coombe Terrace, Brighton, BN24AD",http://www.pizzaknightonline.co.uk,01273671911,
Ace Pizza,"36 Preston Road, Brighton, BN14QF",,01273677772,
The Original Yummie Pizza,"80 Beaconsfield Road, Brighton, BN16DD",http://www.yummiepizza.co.uk,01273554444,
Pizza Plus,"80 Beaconsfield Road, Brighton, BN16DD",http://www.pizzaplusbrighton.co.uk,01273509177,
Pizza 500,"83 Preston Road, Brighton, BN14QG",http://www.pizza500.co.uk,01273911933,
Domino's Pizza Brighton - St Georges Place,"16-17 St Georges Place, Brighton, BN14GB",http://www.dominos.co.uk,01273688444,
Pizza Express,"A3 Block Jubilee Street, Brighton, BN11GE",http://www.pizzaexpress.com,01273697691,
Dial a Pizza,"103 Dyke Road, Brighton, BN13JE",,01273220021,
Brighton Pizza,"Ridgeland House, 165 Dyke Road, Hove, BN31UY",,01273640505,
Harley's Pizza,"97 Preston Drove, Brighton, BN16LD",,01273552828,
Casa Della Pizza,"28 North Street, Brighton, BN11EB",,01273205441,
Pizza Express,"22 Prince Albert Street, The Lanes, Brighton, BN11HF",http://www.pizzaexpress.com,01273323205,
Nuposto Pizza Pasta Bar,"14 West Street, Brighton, BN12RE",http://www.nuposto.com,01273207777,
Pizza King,"42 Kings Road, Brighton, BN11NA",,01273725225,
Pizza King,"56 Preston Street, Brighton, BN12HE",,01273737272,
Pizza Xtra,"84 Preston Street, Brighton, BN12HG",,01273820000,
Nicholas Pizza,"16 Western Road, Hove, BN31AE",http://www.nicholas-pizza.just-eat.co.uk,01273771478,
Pizza Chef,"35-36 Whitehawk Road, Brighton, BN25FB",,01273689412,
Gourmet Pizza Kitchen,"40 Western Road, Hove, BN31JD",http://www.gourmetpizzakitchen.co.uk,01273726777,
