name,address,website,tel,emails
Perfect Pizza,"48 Lewes Road, Brighton, BN23HW",http://www.perfectpizza.co.uk,1273685555,
Pizza Me,"The Kiosk Elm Grove, Brighton, BN23DD",http://www.pizzame-brighton.co.uk,1273622210,
Yummie Pizza,"3 Islingword Road, Brighton, BN29SE",http://www.yummiepizza.co.uk,1273608608,
Jerry's Pizza,"32i & 32j Viaduct Road, Brighton, BN14NB",,1273708080,
Domino's Pizza Brighton - London Road,"56 London Road, Brighton, BN14JE",http://www.dominos.co.uk,1273675676,
Pizza Knight,"14 Coombe Terrace, Brighton, BN24AD",http://www.pizzaknightonline.co.uk,1273671911,
Ace Pizza,"36 Preston Road, Brighton, BN14QF",,1273677772,
The Original Yummie Pizza,"80 Beaconsfield Road, Brighton, BN16DD",http://www.yummiepizza.co.uk,1273554444,
Pizza Plus,"80 Beaconsfield Road, Brighton, BN16DD",http://www.pizzaplusbrighton.co.uk,1273509177,
Pizza 500,"83 Preston Road, Brighton, BN14QG",http://www.pizza500.co.uk,1273911933,
Domino's Pizza Brighton - St Georges Place,"16-17 St Georges Place, Brighton, BN14GB",http://www.dominos.co.uk,1273688444,
Pizza Express,"A3 Block Jubilee Street, Brighton, BN11GE",http://www.pizzaexpress.com,1273697691,
Dial a Pizza,"103 Dyke Road, Brighton, BN13JE",,1273220021,
Brighton Pizza,"Ridgeland House, 165 Dyke Road, Hove, BN31UY",,1273640505,
Harley's Pizza,"97 Preston Drove, Brighton, BN16LD",,1273552828,
Casa Della Pizza,"28 North Street, Brighton, BN11EB",,1273205441,
Pizza Express,"22 Prince Albert Street, The Lanes, Brighton, BN11HF",http://www.pizzaexpress.com,1273323205,
Nuposto Pizza Pasta Bar,"14 West Street, Brighton, BN12RE",http://www.nuposto.com,1273207777,info@nuposto.com
Pizza King,"42 Kings Road, Brighton, BN11NA",,1273725225,
Pizza King,"56 Preston Street, Brighton, BN12HE",,1273737272,
Pizza Xtra,"84 Preston Street, Brighton, BN12HG",,1273820000,
Nicholas Pizza,"16 Western Road, Hove, BN31AE",http://www.nicholas-pizza.just-eat.co.uk,1273771478,
Pizza Chef,"35-36 Whitehawk Road, Brighton, BN25FB",,1273689412,
Gourmet Pizza Kitchen,"40 Western Road, Hove, BN31JD",http://www.gourmetpizzakitchen.co.uk,1273726777,
La Piazza Restaurant,"79 Western Road, Hove, BN32JQ",http://www.lapiazza.co,1273772777,
Fattoamano Pizza,"65 Church Road, Hove, BN32BD",,1273325400,
Pizza Express,"4 The Waterfront, Brighton Marina Village, Brighton, BN25WA",http://www.pizzaexpress.com,1273689300,
Pizza Express,"107 Church Road, Hove, BN32AF",http://www.pizzaexpress.com,1273770093,
Domino's Pizza Brighton - Patcham,"41 Ladies Mile Road, Patcham, Brighton, BN18TA",http://www.dominos.co.uk,1273556001,
Domino's Pizza Hove,"93 Old Shoreham Road, Hove, BN37AQ",http://www.dominos.co.uk,1273208209,
Texas Pizza Hove,"84 Portland Road, Hove, BN35DL",http://www.texaspizzahove.co.uk,1273738000,
Piaza,"542 Falmer Road, Brighton, BN26ND",,1273300011,
Fresh Pizza,"172 Portland Road, Hove, BN35QN",http://www.freshpizza.com,1273775335,
Wild Flour Pizza,"Field End, Greenways, Ovingdean, Brighton, BN27BA",http://www.wildflourpizza.com,1273950991,
Domino's Pizza Portslade,"84 Boundary Road, Hove, BN35TD",http://www.dominos.co.uk,1273418000,
Pizza Hot 4 U,"24 Boundary Road, Hove, BN34EF",http://www.pizzahot4you.com,1273410110,
My Yummy Pizza,"41 Longridge Avenue, Saltdean, Brighton, BN28LG",,1273305405,
Showroom Pizza,"5 Middle Road, Shoreham-By-Sea, BN436GA",,1273441222,
Shoreham Kebab & Pizza,"5 Middle Road, Shoreham-by-sea, BN436GA",,1273441713,
