name,address,website,tel
GP Asbestos & Maintenance Ltd,"We serve Ascot|Bray,Maidenhead,SL6",http://www.gpam.co.uk/,01344 202500 
WestCross Environmental Services Ltd,"We serve Ascot|Aylesbury,HP19",https://www.westcross-es.co.uk/,07854 774162 
Polish Asbestos Removal Ltd,"We serve Ascot|Sunbury-On-Thames,TW16",http://www.polish-asbestos.co.uk,07778 666753 
CPH Site Services Ltd,We serve Ascot,http://cph-siteservices.co.uk/,01753 309333 
Inkerman Hire Services,"We serve Ascot|Milford,Godalming,GU8",https://www.inkermanhire.co.uk/,01483 423995 
D P H Clearance,"We serve Ascot|Feltham,TW13",https://www.dphclearance.co.uk/,07534 089935 
J Harmes Demolition Ltd,"We serve Ascot|Staines-Upon-Thames,TW19",https://www.jharmesdemolition.co.uk/?utm_source=yell&utm_medium=referral&utm_campaign=yell,01753 392152 
Polish Asbestos Removal Ltd,"14 Beechwood Avenue, Sunbury-On-Thames, TW16 7QN",http://www.polish-asbestos.co.uk,07778 666753 
GP Asbestos & Maintenance Ltd,"Old Court Studio Upper Bray Rd, Maidenhead, SL6 2DB",http://www.gpam.co.uk,01372 233861 
Orchard Property Maintenance,"44 Feathers Lane, Wraysbury, Staines-Upon-Thames, TW19 5AN",http://www.orchardpropertymaintenance.co.uk,01784 819428 
Demoway Construction Services Limited,"19 Woodthorpe Road, England, Ashford, TW15 2RP",https://demowayconst.co.uk/,01784 279633 
McDonagh Plastering,"25 Hampden Crescent, Bracknell, RG12 9NW",,07706 851216 
Redhammer Demolition Ltd,,http://www.redhammer.co.uk,0345 459 0701 
European Asbestos Services,"Amosite House Horton Close, West Drayton, UB7 8EB",http://www.european-asbestos.co.uk,01895 444455 
Berkshire Plastering Services,"134 Oak Avenue, Wokingham, RG40 1LR",,07946 280074 
J.S Demolition & Reclamation Ltd,"The Pines Green Lane East, Guildford, GU3 2JL",http://www.jsdr.co.uk,07789 176869 
Eagle Building Berkshire Ltd,"Burford Court, Rances Lane, Wokingham, RG40 2LJ",,07837 121722 
EJM Home Improvements Ltd,"90 High St, Sandhurst, GU47 8EE",http://www.ejmhomeimprovements.co.uk/,01252 217185 
Third Little Pig Builder Ltd,"20 The Orangery, Reading, RG6 1FH",,07749 141949 
Abstract Asbestos Removals Ltd,"8 Saxonbury Avenue, Sunbury-On-Thames, TW16 5HD",,01932 761660 
Berkshirebrickwork.com,"Millers Thumb Freeborn Way, Bracknell, RG12 2RZ",https://www.Berkshirebrickwork.com,01344 286509 
Shorts Group Ltd,"London Court London Rd, Bracknell, RG12 2UT",http://www.shorts-group.co.uk,01344 620316 
Agriwork,"Trelabe Farm Bishops Lane, Bracknell, RG42 6JF",http://www.agriwork.co.uk,01344 885318 
MD Asbestos Solutions Ltd,"63 Lye Copse Avenue, Farnborough, GU14 8DU",http://www.mdasbestossolutions.com,07523 413563 
Redhead Demolitions Ltd,"104 Hatch Lane, Windsor, SL4 3RW",http://www.redheaddemolitions.com,020 8207 1278 
Aquar Construction,"51 St. Andrews, Bracknell, RG12 8ZL",,07778 561934 
Sancross Enviornmental Services Ltd,"11 Hamble Avenue, Camberley, GU17 0HP",http://www.scancrossenvironmental.co.uk/,0800 521468 
Demolition J B,"50a Aldershot Rd, Guildford, GU2 8AF",http://www.jbdemolition.co.uk,01483 531301 
Southern Counties Asbestos Ltd,"1 Enterprise Estate Moorfield Rd, Guildford, GU1 1RB",,01483 299618 
TG Building Maintenance,"Weir Bank Monkey Island Lane, Maidenhead, SL6 2ED",,07342 120904 
Stately Surfacing,"Forest Gate Farm Stonehill Rd, Chertsey, KT16 0EW",http://www.statelysurfacing.co.uk,0800 191 0221 
Edenbeck Ltd,"Thames Court Victoria St, Windsor, SL4 1YB",http://www.edenbeck.co.uk,0845 073 8602 
Elmbridge Mini Skips,"1 Robinsway, Walton-On-Thames, KT12 5RE",http://www.elmbridgerubbishclearance.co.uk,01932 229879 
Redhammer Demolition Ltd,"14 Albany House, 14 Shute End, Wokingham, RG40 1BJ",,03454 590701 
Lowery Demolition Ltd,"Heathrow House, Park Lane, Slough, SL3 9PR",http://www.lowerydemolition.co.uk,01753 689198 
Surtees Maintenance Ltd,"8 Vulcan Court Vulcan Way, Sandhurst, GU47 9DB",http://www.surteesmaintenance.co.uk,01252 750434 
Europlant UK Demolition Division Ltd,"Cornerways River Rd, Maidenhead, SL6 0BB",http://www.europlantgroup.co.uk,01628 778838 
K Watts Construction Ltd,"25 Faris Barn Drive, Addlestone, KT15 3DZ",,01932 353875 
Mark-One Demolition,"6 Northway, Guildford, GU2 9SB",,07538 379084 
W & H Transport Demolition Ltd,"2 Alexandra Rd, Ashford, TW15 1TP",http://www.whtransportdemolition.co.uk,01932 379577 
Bober Building,"51 Kingsway, Staines-Upon-Thames, TW19 7QF",http://www.boberbuilding.co.uk,07904 788824 
Silverline Refurbishments,"55 Sutherland Avenue, Sunbury-On-Thames, TW16 6LL",https://www.checkatrade.com/SilverlineRefurbishments/,07707 593308 
GPS Facilities Ltd,"Enterprise House, 44-46 Terrace Road, WALTON-ON-THAMES, KT12 2SD",,01628 562075 
MSH Building Solutions,"Hedgecroft Cottages Newark Lane, Woking, GU23 6DD",,07768 862307 
Adam Madejski,"10 Pinewood Rd, Feltham, TW13 7BD",,07557 092044 
