name,address,website,tel,emails
Damasco Grill,"238 Portland Rd, Hove, BN3 5QT",http://www.damascogrill.co.uk,01273 723830 ,
Pizza Extra,"84 Preston St, Brighton, BN1 2HG",,01273 820000 ,
Amore Cafe Pizza,"52 Blatchington Rd, Hove, BN3 3YH",,01273 911819 ,
The Seaside Pizza Co,"39 Bellingham Crescent, Hove, BN3 7FA",http://theseasidepizzaco.com,07749 332648 ,
Dinner2go,"34 Third Avenue, Hove, BN3 2PD",http://www.dinner2go.co.uk,01273 608526 ,
Pizzeria da Gennaro,"165 Hangleton Way, Hove, BN3 8EY",http://www.pizzeria-gennaro.uk,01273 430334 ,
Piaza,"542 Falmer Rd, Brighton, BN2 6ND",http://piazza-bn2.co.uk,01273 300011 ,
Dodo Pizza,"6 York Place, North Laine, BRIGHTON, BN1 4GU",http://dodopizza.co.uk,01273 567356 ,
Kebab Knight,"15 Coombe Terrace, Brighton, BN2 4AD",http://www.kebabknight.co.uk,01273 690771 ,
Domino's Pizza - Brighton - St Georges Place,"16/17 St Georges Place, Brighton, BN1 4GB",https://www.dominos.co.uk/pizza-near-me/brighton/16/17-st-georges-place?utm_source=extended_network&utm_medium=yext&y_source=1_MTIxMzcxMzQtNzAyLWxvY2F0aW9uLndlYnNpdGU%3D,01273 688444 ,
Domino's Pizza - Portslade,"84 Boundary Rd, Hove, BN3 5TD",https://www.dominos.co.uk/pizza-near-me/hove/84-boundary-road?utm_source=extended_network&utm_medium=yext&y_source=1_MTIxMzY4MDMtNzAyLWxvY2F0aW9uLndlYnNpdGU%3D,01273 418000 ,
Domino's Pizza - Brighton - London Road,"56 London Rd, Brighton, BN1 4JE",https://www.dominos.co.uk/pizza-near-me/brighton/56-london-road?utm_source=extended_network&utm_medium=yext&y_source=1_MTIxMzc4OTgtNzAyLWxvY2F0aW9uLndlYnNpdGU%3D,01273 675676 ,
